Library Type,Region,Country or Area,M49 Code,Metric,Metric Data,Data Year
Academic,Europe,Andorra,20,Libraries,1,2018
Academic,Europe,Andorra,20,Internet_Access,1,2018
Academic,Europe,Andorra,20,Staff,1,2018
Academic,Europe,Andorra,20,Volunteers,N/A,2018
Academic,Europe,Andorra,20,Users,1184,2018
Academic,Europe,Andorra,20,Visits,-,-
Academic,Europe,Andorra,20,Loans_books,481,2018
Academic,Europe,Andorra,20,Loans_documents,0,2018
Academic,Europe,Andorra,20,Loans_eBooks,N/A,2018
Academic,Europe,Andorra,20,Loans_audio_books,N/A,2018
Academic,Europe,Andorra,20,Loans_downloads,N/A,2018
Academic,Europe,Austria,40,Libraries,217,2015
Academic,Europe,Austria,40,Internet_Access,217,2015
Academic,Europe,Austria,40,Staff,1029,2015
Academic,Europe,Austria,40,Volunteers,-,-
Academic,Europe,Austria,40,Users,224606,2015
Academic,Europe,Austria,40,Visits,10027781,2015
Academic,Europe,Austria,40,Loans_books,9872882,2015
Academic,Europe,Austria,40,Loans_documents,-,-
Academic,Europe,Austria,40,Loans_eBooks,-,-
Academic,Europe,Austria,40,Loans_audio_books,-,-
Academic,Europe,Austria,40,Loans_downloads,-,-
Academic,Europe,Belarus,112,Libraries,78,2016
Academic,Europe,Belarus,112,Internet_Access,78,2016
Academic,Europe,Belarus,112,Staff,1574,2016
Academic,Europe,Belarus,112,Volunteers,-,-
Academic,Europe,Belarus,112,Users,407725,2016
Academic,Europe,Belarus,112,Visits,19524435,2016
Academic,Europe,Belarus,112,Loans_books,22613875,2016
Academic,Europe,Belarus,112,Loans_documents,-,-
Academic,Europe,Belarus,112,Loans_eBooks,-,-
Academic,Europe,Belarus,112,Loans_audio_books,-,-
Academic,Europe,Belarus,112,Loans_downloads,3184808,2016
Academic,Europe,Belgium,56,Libraries,140,2017
Academic,Europe,Belgium,56,Internet_Access,140,2017
Academic,Europe,Belgium,56,Staff,502,2017
Academic,Europe,Belgium,56,Volunteers,-,-
Academic,Europe,Belgium,56,Users,239338,2017
Academic,Europe,Belgium,56,Visits,5441703,2017
Academic,Europe,Belgium,56,Loans_books,1121930,2017
Academic,Europe,Belgium,56,Loans_documents,-,-
Academic,Europe,Belgium,56,Loans_eBooks,-,-
Academic,Europe,Belgium,56,Loans_audio_books,-,-
Academic,Europe,Belgium,56,Loans_downloads,-,-
Academic,Europe,Bulgaria,100,Libraries,66,2013
Academic,Europe,Bulgaria,100,Internet_Access,66,2018
Academic,Europe,Bulgaria,100,Staff,515,2013
Academic,Europe,Bulgaria,100,Volunteers,-,-
Academic,Europe,Bulgaria,100,Users,127957,2013
Academic,Europe,Bulgaria,100,Visits,1713752,2013
Academic,Europe,Bulgaria,100,Loans_books,2408932,2013
Academic,Europe,Bulgaria,100,Loans_documents,-,-
Academic,Europe,Bulgaria,100,Loans_eBooks,-,-
Academic,Europe,Bulgaria,100,Loans_audio_books,-,-
Academic,Europe,Bulgaria,100,Loans_downloads,-,-
Academic,Europe,Croatia,191,Libraries,133,2019
Academic,Europe,Croatia,191,Internet_Access,133,2019
Academic,Europe,Croatia,191,Staff,511,2019
Academic,Europe,Croatia,191,Volunteers,2,2019
Academic,Europe,Croatia,191,Users,173097,2019
Academic,Europe,Croatia,191,Visits,3456635,2019
Academic,Europe,Croatia,191,Loans_books,1279374,2019
Academic,Europe,Croatia,191,Loans_documents,-,-
Academic,Europe,Croatia,191,Loans_eBooks,-,-
Academic,Europe,Croatia,191,Loans_audio_books,-,-
Academic,Europe,Croatia,191,Loans_downloads,2429516,2019
